 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000       1.000000    
   3.625000       1.000000    
   3.875000       1.000000    
   4.125000       1.000000    
   4.375000      0.9998000    
   4.625000      0.9995000    
   4.875000      0.9985999    
   5.125000      0.9966000    
   5.375000      0.9740000    
   5.625000      0.9734000    
   5.875000      0.9733000    
   6.125000      0.9733000    
   6.375000      0.9730000    
   6.625000      0.9728000    
   6.875000      0.9726000    
   7.125000      0.9722000    
   7.375000      0.9717000    
   7.625000      0.9717000    
   7.875000      0.9708000    
   8.125000      0.9702000    
   8.375000      0.9698000    
   8.625000      0.9678000    
   8.875000      0.9666000    
   9.125000      0.9607000    
   9.375000      0.9528000    
   9.625000      0.9469000    
   9.875000      0.9402000    
   10.12500      0.9312000    
   10.37500      0.9260000    
   10.62500      0.9181000    
   10.87500      0.6702000    
   11.12500      0.5867000    
   11.37500      0.5834000    
   11.62500      0.5806000    
   11.87500      0.5783000    
   12.12500      0.5730000    
   12.37500      0.5709000    
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
