 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000       1.000000    
   3.625000       1.000000    
   3.875000       1.000000    
   4.125000       1.000000    
   4.375000       1.000000    
   4.625000       1.000000    
   4.875000       1.000000    
   5.125000       1.000000    
   5.375000       1.000000    
   5.625000       1.000000    
   5.875000       1.000000    
   6.125000       1.000000    
   6.375000       1.000000    
   6.625000       1.000000    
   6.875000       1.000000    
   7.125000       1.000000    
   7.375000       1.000000    
   7.625000       1.000000    
   7.875000       1.000000    
   8.125000       1.000000    
   8.375000       1.000000    
   8.625000       1.000000    
   8.875000       1.000000    
   9.125000       1.000000    
   9.375000       1.000000    
   9.625000      0.9999000    
   9.875000      0.9996000    
   10.12500      0.9996000    
   10.37500      0.9995000    
   10.62500      0.9994000    
   10.87500      0.9990000    
   11.12500      0.9982000    
   11.37500      0.9977000    
   11.62500      0.7145000    
   11.87500      0.7102000    
   12.12500      0.7069000    
   12.37500      0.7056000    
   12.62500      0.7019000    
   12.87500      0.7004000    
   13.12500      0.6979000    
   13.37500      0.6940000    
   13.62500      0.6904000    
   13.87500      0.6879000    
   14.12500      0.6864000    
   14.37500      0.6855000    
   14.62500      0.6816000    
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
