 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000      0.9993000    
  0.6250000      0.9987000    
  0.8750000      0.9982000    
   1.125000      0.9976000    
   1.375000      0.9970000    
   1.625000      0.9969000    
   1.875000      0.9966000    
   2.125000      0.9960000    
   2.375000      0.9956000    
   2.625000      0.9953000    
   2.875000      0.9942999    
   3.125000      0.9932000    
   3.375000      0.9926000    
   3.625000      0.9915000    
   3.875000      0.9902000    
   4.125000      0.9891000    
   4.375000      0.9869000    
   4.625000      0.9856000    
   4.875000      0.9840000    
   5.125000      0.9834000    
   5.375000      0.9821000    
   5.625000      0.9811000    
   5.875000      0.9798000    
   6.125000      0.9786000    
   6.375000      0.9776000    
   6.625000      0.9774000    
   6.875000      0.9765000    
   7.125000      0.9751000    
   7.375000      0.9738000    
   7.625000      0.9717000    
   7.875000      0.9701000    
   8.125000      0.9687999    
   8.375000      0.9682000    
   8.625000      0.9668000    
   8.875000      0.9654000    
   9.125000      0.9647000    
   9.375000      0.9637000    
   9.625000      0.9621000    
   9.875000      0.9603000    
   10.12500      0.9584000    
   10.37500      0.9563000    
   10.62500      0.9548000    
   10.87500      0.9525000    
   11.12500      0.9499000    
   11.37500      0.9468000    
   11.62500      0.9430000    
   11.87500      0.9371000    
   12.12500      0.9287000    
   12.37500      0.9195000    
   12.62500      0.9109000    
   12.87500      0.9023000    
   13.12500      0.8933000    
   13.37500      0.8767000    
   13.62500      0.8310000    
   13.87500      0.7478000    
   14.12500      0.6763000    
   14.37500      0.6319000    
   14.62500      0.5692000    
   14.87500      0.4025000    
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
